i 的
5isn 卿
5int 琴
5inr 糟
5ins 穴
5inn 怜
5ott 勋
5otr 卜
5ots 匈
5otn 誓
5ort 厄
5orr 硫
5ors 耻
5orn 卧
5ost 赌
5osr 茎
5oss 飘
5osn 绵
5ont 衍
5onr 慌
5ons 剖
5onn 凰
5att 萧
5atr 绳
5ats 昭
5atn 鳍
5art 勘
5arr 慕
5ars 罩
5arn 拦
5ast 撑
5asr 抄
5ass 狮
5asn 夕
5ant 柴
5anr 贬
5ans 浦
5ann 婆
5htt 佐
5htr 滨
5hts 昧
5htn 窝
5hrt 贤
5hrr 渊
5hrs 铸
5hrn 敲
5hst 狄
5hsr 躲
5hss 丙
5hsn 蚀
5hnt 坎
5hnr 恳
5hns 叔
5hnn 蔬
5ttt 骄
5ttr 岂
5tts 勾
5ttn 憾
5trt 岭
5trr 苍
5trs 蔡
5trn 逾
5tst 煌
5tsr 挽
5tss 纬
5tsn 诈
5tnt 俊
5tnr 岳
5tns 娃
5tnn 屡
5rtt 贾
5rtr 郊
5rts 垒
5rtn 桂
5rrt 溯
5rrr 溪
5rrs 茅
5rrn 寨
5rst 丸
5rsr 柳
5rss 摊
5rsn 叠
5rnt 旱
5rnr 碱
5rns 蠢
5rnn 霉
5stt 篮
5str 募
5sts 匆
5stn 蚁
5srt 喘
5srr 筒
5srs 拳
5srn 寡
5sst 膀
5ssr 矣
5sss 咬
5ssn 玲
5snt 缚
5snr 榜
5sns 锅
5snn 遮
5ntt 宴
5ntr 剪
5nts 冈
5ntn 贩
5nrt 骚
5nrr 寂
5nrs 堵
5nrn 勉
5nst 釉
5nsr 焚
5nss 禽
5nsn 屿
5nnt 搏
5nnr 慨
5nns 寓
5nnn 驰
5eee 歪
5eei 盼
5eeo 吻
5eea 钙
5eeh 譬
5eie 浸
5eii 谦
5eio 褐
5eia 喀
5eih 枢
5eoe 卸
5eoi 浏
5eoo 痴
5eoa 缅
5eoh 谎
5eae 鹅
5eai 莎
5eao 佣
5eaa 祈
5eah 瞬
5ehe 肖
5ehi 髓
5eho 炒
5eha 甸
5ehh 枯
5iee 遏
5iei 挣
5ieo 坠
5iea 嘛
5ieh 汁
5iie 裔
5iii 咒
5iio 甜
5iia 肆
5iih 懈
5ioe 苹
5ioi 哺
5ioo 祷
5ioa 躺
5ioh 淘
5iae 翔
5iai 悠
5iao 唇
5iaa 孝
5iah 燥
5ihe 峻
5ihi 倘
5iho 茫
5iha 胚
5ihh 蕴
5oee 砍
5oei 茂
5oeo 贮
5oea 捞
5oeh 夷
5oie 圾
5oii 逸
5oio 脾
5oia 垃
5oih 饶
5ooe 栽
5ooi 爷
5ooo 棒
5ooa 晤
5ooh 隙
5oae 坑
5oai 俯
5oao 鲸
5oaa 姚
5oah 羞
5ohe 尉
5ohi 斋
5oho 缆
5oha 聊
5ohh 裸
5aee 眉
5aei 焰
5aeo 谜
5aea 歉
5aeh 闷
5aie 珊
5aii 詹
5aio 缠
5aia 狠
5aih 铭
5aoe 盒
5aoi 株
5aoo 扇
5aoa 昔
5aoh 晕
5aae 逢
5aai 肚
5aao 砂
5aaa 萎
5aah 翁
5ahe 浴
5ahi 膏
5aho 匀
5aha 瘦
5ahh 肪
5hee 氨
5hei 闯
5heo 谅
5hea 蝶
5heh 攀
5hie 艳
5hii 俩
5hio 涡
5hia 稻
5hih 膝
5hoe 讽
5hoi 堕
5hoo 噪
5hoa 雀
5hoh 弦
5hae 笛
5hai 咳
5hao 柜
5haa 沪
5hah 酶
5hhe 溢
5hhi 朽
5hho 豹
5hha 蔑
5hhh 铅
5teu 袁
5tek 芽
5tex 梭
5tiu 删
5tik 恕
5tix 氯
5tou 挨
5tok 廊
5tox 瞄
5tau 憎
5tak 棵
5tax 亭
5thu 僵
5thk 砖
5thx 筋
5reu 奢
5rek 拯
5rex 浆
5riu 蓬
5rik 诫
5rix 吏
5rou 稽
5rok 嫩
5rox 抹
5rau 沫
5rak 颖
5rax 诵
5rhu 鼎
5rhk 凿
5rhx 藻
5seu 哩
5sek 泳
5sex 柄
5siu 睹
5sik 恭
5six 鸿
5sou 姜
5sok 磷
5sox 芒
5sau 赁
5sak 沦
5sax 塌
5shu 囚
5shk 汰
5shx 咐
5neu 碗
5nek 弘
5nex 刮
5niu 馈
5nik 绑
5nix 勿
5nou 汝
5nok 塘
5nox 浑
5nau 钮
5nak 蝇
5nax 虐
5nhu 藉
5nhk 鳞
5nhx 惕
5tue 霞
5tui 胖
5tuo 泼
5tua 椅
5tuh 煮
5tke 庇
5tki 啦
5tko 帜
5tka 钉
5tkh 酿
5txe 毋
5txi 咸
5txo 阀
5txa 龟
5txh 垫
5rue 嫁
5rui 昼
5ruo 扔
5rua 堤
5ruh 痒
5rke 坝
5rki 泻
5rko 冶
5rka 冀
5rkh 琼
5rxe 涯
5rxi 绎
5rxo 鸭
5rxa 癫
5rxh 侣
5sue 讶
5sui 醇
5suo 垮
5sua 兔
5suh 蛛
5ske 躯
5ski 铀
5sko 愁
5ska 赎
5skh 贼
5sxe 吵
5sxi 陌
5sxo 犬
5sxa 嘲
5sxh 掀
5nue 贞
5nui 磅
5nuo 弓
5nua 倦
5nuh 蔓
5nke 屑
5nki 罐
5nko 蚕
5nka 虔
5nkh 趁
5nxe 巫
5nxi 宠
5nxo 顷
5nxa 蹄
5nxh 鞭
5tuu 啡
5tuk 糕
5tux 崛
5tku 戚
5tkk 卒
5tkx 乾
5txu 垦
5txk 镕
5txx 棱
5ruu 虏
5ruk 桶
5rux 蹈
5rku 懒
5rkk 匿
5rkx 虹
5rxu 熔
5rxk 麽
5rxx 驯
5suu 魅
5suk 喂
5sux 沼
5sku 澄
5skk 疹
5skx 饼
5sxu 挠
5sxk 藤
5sxx 甫
5nuu 拾
5nuk 邱
5nux 靖
5nku 纱
5nkk 辰
5nkx 帆
5nxu 熙
5nxk 钧
5nxx 杉
5mee 铃
5mei 棚
5meo 鄙
5mea 哨
5meh 冤
5mie 凑
5mii 躁
5mio 匪
5mia 裤
5mih 愧
5moe 蜀
5moi 彰
5moo 辜
5moa 洒
5moh 谭
5mae 淀
5mai 阎
5mao 侮
5maa 瞒
5mah 颌
5mhe 棍
5mhi 侍
5mho 绞
5mha 胰
5mhh 薛
5lee 敞
5lei 棕
5leo 凸
5lea 敷
5leh 揽
5lie 矮
5lii 沸
5lio 桨
5lia 寇
5lih 绒
5loe 绸
5loi 矫
5loo 爪
5loa 棘
5loh 奎
5lae 殷
5lai 妒
5lao 颤
5laa 佃
5lah 贱
5lhe 巾
5lhi 吩
5lho 湘
5lha 坊
5lhh 灶
5cee 鹤
5cei 笨
5ceo 畸
5cea 瘫
5ceh 虾
5cie 漆
5cii 掷
5cio 咖
5cia 轿
5cih 抖
5coe 拢
5coi 琐
5coo 濒
5coa 乞
5coh 淹
5cae 旷
5cai 撕
5cao 琳
5caa 淆
5cah 俭
5che 咱
5chi 碧
5cho 搁
5cha 溜
5chh 杏
5meu 谟
5mek 牟
5mex 聂
5miu 榴
5mik 蜡
5mix 莉
5mou 陋
5mok 疮
5mox 疡
5mau 裹
5mak 橡
5max 谣
5mhu 萌
5mhk 哮
5mhx 芦
5leu 鸦
5lek 粪
5lex 菊
5liu 侈
5lik 饵
5lix 硅
5lou 苑
5lok 坪
5lox 锥
5lau 煽
5lak 凹
5lax 嫉
5lhu 梗
5lhk 硝
5lhx 窦
5ceu 坞
5cek 禄
5cex 痰
5ciu 扼
5cik 惶
5cix 瓣
5cou 拐
5cok 诡
5cox 诀
5cau 霜
5cak 辣
5cax 斐
5chu 狒
5chk 铝
5chx 嵌
5mue 绥
5mui 摔
5muo 荆
5mua 崖
5muh 剿
5mke 翠
5mki 啤
5mko 耸
5mka 沾
5mkh 澜
5mxe 聋
5mxi 颅
5mxo 呕
5mxa 慑
5mxh 隋
5lue 磋
5lui 惹
5luo 桩
5lua 稚
5luh 捍
5lke 刹
5lki 驼
5lko 毙
5lka 捆
5lkh 晒
5lxe 祀
5lxi 嗽
5lxo 坟
5lxa 喇
5lxh 竖
5cue 柬
5cui 墟
5cuo 粟
5cua 氮
5cuh 晃
5cke 怯
5cki 拱
5cko 魄
5cka 碌
5ckh 隘
5cxe 肇
5cxi 烤
5cxo 胺
5cxa 鸽
5cxh 紊
5muu 矢
5muk 滤
5mux 砸
5mku 簿
5mkk 栋
5mkx 洽
5mxu 灿
5mxk 崭
5mxx 钞
5luu 暑
5luk 迂
5lux 觅
5lku 盯
5lkk 廓
5lkx 耍
5lxu 蚂
5lxk 暇
5lxx 酌
5cuu 爽
5cuk 煎
5cux 槽
5cku 邵
5ckk 茵
5ckx 蕉
5cxu 钥
5cxk 厥
5cxx 埔
5ttu 诏
5ttk 孵
5ttx 臀
5tru 斩
5trk 绣
5trx 韧
5tsu 壶
5tsk 傻
5tsx 碟
5tnu 巷
5tnk 冥
5tnx 衬
5rtu 扯
5rtk 瑚
5rtx 脓
5rru 哑
5rrk 厨
5rrx 嗜
5rsu 椭
5rsk 拙
5rsx 嗅
5rnu 瞧
5rnk 鲤
5rnx 皱
5stu 亥
5stk 梵
5stx 斌
5sru 鄂
5srk 妊
5srx 魁
5ssu 邑
5ssk 妆
5ssx 簇
5snu 睦
5snk 礁
5snx 谤
5ntu 庐
5ntk 斧
5ntx 栓
5nru 悼
5nrk 竿
5nrx 赂
5nsu 渣
5nsk 捧
5nsx 忏
5nnu 醫
5nnk 腥
5nnx 肛
5tme 蚊
5tmi 瞩
5tmo 抒
5tma 傍
5tmh 拷
5tle 瑜
5tli 焕
5tlo 廖
5tla 睾
5tlh 钝
5tce 沛
5tci 姬
5tco 窥
5tca 沌
5tch 韵
5rme 哄
5rmi 钠
5rmo 绅
5rma 伺
5rmh 粥
5rle 葱
5rli 焉
5rlo 娠
5rla 睁
5rlh 悯
5rce 赦
5rci 捏
5rco 幢
5rca 锌
5rch 耿
5sme 倚
5smi 肘
5smo 秉
5sma 陨
5smh 惰
5sle 崔
5sli 搅
5slo 皂
5sla 痪
5slh 狩
5sce 窜
5sci 铢
5sco 嚼
5sca 狐
5sch 衅
5nme 梢
5nmi 羡
5nmo 耽
5nma 敛
5nmh 捣
5nle 抨
5nli 沧
5nlo 糙
5nla 匙
5nlh 羁
5nce 潭
5nci 弧
5nco 沮
5nca 驴
5nch 袍
5tmu 讳
5tmk 锯
5tmx 曝
5tlu 滔
5tlk 婪
5tlx 靶
5tcu 悖
5tck 陡
5tcx 稼
5rmu 琛
5rmk 嗣
5rmx 玫
5rlu 锤
5rlk 秽
5rlx 慷
5rcu 蒲
5rck 浊
5rcx 骼
5smu 瑰
5smk 汀
5smx 腕
5slu 狡
5slk 毗
5slx 墅
5scu 撼
5sck 呵
5scx 孜
5nmu 杠
5nmk 屯
5nmx 厢
5nlu 篡
5nlk 骸
5nlx 毯
5ncu 牡
5nck 蜘
5ncx 蛙
5mte 吟
5mti 篷
5mto 酵
5mta 衫
5mth 琉
5mre 蝴
5mri 哉
5mro 兜
5mra 溉
5mrh 矶
5mse 尹
5msi 氟
5mso 藥
5msa 涤
5msh 浇
5mne 撇
5mni 刃
5mno 妖
5mna 暨
5mnh 枕
5lte 碘
5lti 眷
5lto 窟
5lta 渎
5lth 宦
5lre 禹
5lri 怠
5lro 擎
5lra 脖
5lrh 忱
5lse 杖
5lsi 敕
5lso 裙
5lsa 馨
5lsh 犁
5lne 椒
5lni 汲
5lno 苛
5lna 谕
5lnh 瑶
5cte 妮
5cti 挚
5cto 麟
5cta 彬
5cth 灼
5cre 瀑
5cri 芜
5cro 桓
5cra 眩
5crh 隧
5cse 颐
5csi 荫
5cso 诬
5csa 跋
5csh 逗
5cne 瞎
5cni 陛
5cno 藩
5cna 盔
5cnh 畔
5mtu 骆
5mtk 佑
5mtx 瑙
5mru 泣
5mrk 龋
5mrx 蛾
5msu 靡
5msk 苔
5msx 莽
5mnu 秃
5mnk 熏
5mnx 棺
5ltu 豁
5ltk 腓
5ltx 禧
5lru 腻
5lrk 晦
5lrx 娶
5lsu 岚
5lsk 跪
5lsx 枣
5lnu 栗
5lnk 炬
5lnx 菇
5ctu 疣
5ctk 筛
5ctx 蕊
5cru 酝
5crk 徙
5crx 缀
5csu 瞻
5csk 豚
5csx 乒
5cnu 掺
5cnk 挛
5cnx 宛
5mme 澡
5mmi 猖
5mmo 铲
5mma 珀
5mmh 谛
5mle 缉
5mli 舷
5mlo 坤
5mla 趾
5mlh 厕
5mce 僻
5mci 汹
5mco 峙
5mca 烛
5mch 皈
5lme 鞘
5lmi 汞
5lmo 迭
5lma 啸
5lmh 稠
5lle 喧
5lli 涕
5llo 帖
5lla 彦
5llh 苯
5lce 萝
5lci 嚣
5lco 邢
5lca 雁
5lch 唾
5cme 哇
5cmi 尴
5cmo 菱
5cma 闸
5cmh 诽
5cle 烁
5cli 瘟
5clo 襟
5cla 朔
5clh 帧
5cce 尬
5cci 挝
5cco 曙
5cca 痉
5cch 崎
5mmu 熬
5mmk 殆
5mmx 赃
5mlu 咎
5mlk 痹
5mlx 舵
5mcu 摹
5mck 虞
5mcx 镶
5lmu 萃
5lmk 鞍
5lmx 骇
5llu 竣
5llk 芙
5llx 寝
5lcu 橄
5lck 绰
5lcx 庶
5cmu 卦
5cmk 庚
5cmx 渺
5clu 吼
5clk 荧
5clx 妓
5ccu 嚷
5cck 膳
5ccx 缸
5eem 氓
5eel 掏
5eec 缪
5eim 箓
5eil 轩
5eic 盎
5eom 漱
5eol 殴
5eoc 痔
5eam 淤
5eal 襄
5eac 苟
5ehm 彗
5ehl 孽
5ehc 臻
5iem 卉
5iel 籽
5iec 拣
5iim 亢
5iil 赣
5iic 圭
5iom 兢
5iol 乍
5ioc 窍
5iam 剔
5ial 珥
5iac 煞
5ihm 纂
5ihl 徊
5ihc 梨
5oem 阱
5oel 懦
5oec 穗
5oim 熄
5oil 踩
5oic 钾
5oom 砾
5ool 鳃
5ooc 酮
5oam 芭
5oal 壕
5oac 媚
5ohm 薯
5ohl 夭
5ohc 闽
5aem 湛
5ael 焘
5aec 掳
5aim 乖
5ail 傣
5aic 鸠
5aom 旭
5aol 恤
5aoc 拇
5aam 甩
5aal 溺
5aac 涩
5ahm 阪
5ahl 峭
5ahc 鳌
5hem 雏
5hel 冕
5hec 萍
5him 娇
5hil 亵
5hic 蝗
5hom 酋
5hol 淄
5hoc 抉
5ham 侠
5hal 寥
5hac 俾
5hhm 氦
5hhl 伎
5hhc 弛
5eut 诅
5eur 瞪
5eus 烫
5eun 蹲
5ekt 醋
5ekr 胱
5eks 噶
5ekn 瞿
5ext 狙
5exr 霄
5exs 倪
5exn 踢
5iut 驭
5iur 噬
5ius 翘
5iun 棠
5ikt 洼
5ikr 酱
5iks 暮
5ikn 枉
5ixt 庵
5ixr 炫
5ixs 螂
5ixn 冗
5out 妃
5our 恍
5ous 蔚
5oun 谚
5okt 睿
5okr 歹
5oks 哗
5okn 徘
5oxt 凄
5oxr 冉
5oxs 楷
5oxn 寅
5aut 阜
5aur 蟹
5aus 汛
5aun 窒
5akt 颓
5akr 祠
5aks 桔
5akn 砌
5axt 垣
5axr 痊
5axs 榄
5axn 坍
5hut 殉
5hur 盏
5hus 黏
5hun 逞
5hkt 肋
5hkr 尧
5hks 婉
5hkn 窘
5hxt 渤
5hxr 磺
5hxs 乓
5hxn 樱
5eum 皿
5eul 茄
5euc 迥
5ekm 蕾
5ekl 髦
5ekc 轧
5exm 沁
5exl 诘
5exc 泵
5ium 滇
5iul 痫
5iuc 蝉
5ikm 诲
5ikl 僭
5ikc 埠
5ixm 叮
5ixl 沽
5ixc 侄
5oum 琢
5oul 邹
5ouc 龚
5okm 蘑
5okl 擒
5okc 梳
5oxm 帘
5oxl 粤
5oxc 炽
5aum 雍
5aul 帷
5auc 拂
5akm 鸥
5akl 膊
5akc 屁
5axm 芸
5axl 蜕
5axc 渭
5hum 讥
5hul 揉
5huc 膛
5hkm 戊
5hkl 俞
5hkc 樊
5hxm 诠
5hxl 澎
5hxc 戎
5uet 榆
5uer 摒
5ues 戳
5uen 幔
5uit 挟
5uir 渲
5uis 廿
5uin 桐
5uot 札
5uor 這
5uos 恺
5uon 郝
5uat 捡
5uar 坯
5uas 钵
5uan 瞥
5uht 诣
5uhr 璇
5uhs 藐
5uhn 褶
5ket 邸
5ker 胥
5kes 兮
5ken 瘢
5kit 胳
5kir 垢
5kis 弩
5kin 哦
5kot 烹
5kor 剃
5kos 巍
5kon 檐
5kat 疤
5kar 绊
5kas 惭
5kan 亟
5kht 诃
5khr 恪
5khs 锚
5khn 忡
5xet 舅
5xer 霖
5xes 經
5xen 渝
5xit 躬
5xir 缕
5xis 疱
5xin 葵
5xot 犀
5xor 揣
5xos 娟
5xon 卤
5xat 劈
5xar 叨
5xas 猾
5xan 惫
5xht 橙
5xhr 寞
5xhs 脐
5xhn 辙
5uem 凳
5uel 羌
5uec 巳
5uim 肮
5uil 矗
5uic 钳
5uom 笃
5uol 荟
5uoc 龈
5uam 羔
5ual 臆
5uac 匮
5uhm 咀
5uhl 篱
5uhc 啥
5kem 胧
5kel 皖
5kec 嘘
5kim 阮
5kil 洄
5kic 扳
5kom 琦
5kol 糜
5koc 堑
5kam 鳄
5kal 蛹
5kac 醮
5khm 隅
5khl 瘾
5khc 烙
5xem 裴
5xel 栅
5xec 兀
5xim 呐
5xil 淳
5xic 悍
5xom 穹
5xol 眨
5xoc 怡
5xam 恃
5xal 趟
5xac 孢
5xhm 曦
5xhl 朦
5xhc 戮
5uut 奕
5uur 舜
5uus 過
5uun 拌
5ukt 匣
5ukr 蕃
5uks 灸
5ukn 曳
5uxt 咄
5uxr 叭
5uxs 绷
5uxn 腋
5kut 莹
5kur 炳
5kus 禾
5kun 秧
5kkt 汕
5kkr 蠕
5kks 宵
5kkn 唉
5kxt 殃
5kxr 丐
5kxs 叩
5kxn 孰
5xut 瘀
5xur 枷
5xus 锣
5xun 茗
5xkt 笈
5xkr 茧
5xks 镁
5xkn 忿
5xxt 踵
5xxr 褒
5xxs 淑
5xxn 熵
5uum 槛
5uul 仕
5uuc 铬
5ukm 姨
5ukl 贻
5ukc 笠
5uxm 颊
5uxl 绢
5uxc 踊
5kum 榨
5kul 睐
5kuc 狸
5kkm 彝
5kkl 啼
5kkc 沥
5kxm 赘
5kxl 琅
5kxc 萤
5xum 哟
5xul 韬
5xuc 沐
5xkm 麓
5xkl 嗡
5xkc 鞅
5xxm 鹦
5xxl 锈
5xxc 嫖
5etm 蟾
5etl 嗓
5etc 癣
5erm 漳
5erl 娼
5erc 祁
5esm 烯
5esl 唑
5esc 阙
5enm 戍
5enl 岑
5enc 唆
5itm 祛
5itl 笋
5itc 杞
5irm 狈
5irl 焊
5irc 靴
5ism 揪
5isl 徇
5isc 獗
5inm 枫
5inl 侥
5inc 陇
5otm 俏
5otl 咏
5otc 诰
5orm 郅
5orl 姊
5orc 楔
5osm 拴
5osl 蛀
5osc 鑫
5onm 腑
5onl 烘
5onc 媲
5atm 榻
5atl 蹂
5atc 袒
5arm 媳
5arl 哼
5arc 褥
5asm 滕
5asl 躏
5asc 攫
5anm 佬
5anl 栈
5anc 嬉
5htm 耘
5htl 睫
5htc 扛
5hrm 辄
5hrl 黯
5hrc 炊
5hsm 袱
5hsl 絮
5hsc 袤
5hnm 拚
5hnl 蔗
5hnc 颚
5emt 羚
5emr 檀
5ems 瑕
5emn 翩
5elt 鲨
5elr 嘎
5els 锰
5eln 體
5ect 窖
5ecr 蒜
5ecs 斟
5ecn 倭
5imt 汐
5imr 澈
5ims 苇
5imn 橱
5ilt 咕
5ilr 韶
5ils 毡
5iln 酯
5ict 嘶
5icr 娅
5ics 簧
5icn 翌
5omt 钊
5omr 赡
5oms 绚
5omn 鳗
5olt 酪
5olr 吝
5ols 喃
5oln 耆
5oct 禀
5ocr 钚
5ocs 撮
5ocn 遁
5amt 栩
5amr 晖
5ams 肴
5amn 黛
5alt 帛
5alr 睬
5als 葫
5aln 婢
5act 皓
5acr 娩
5acs 褪
5acn 玺
5hmt 璐
5hmr 烷
5hms 惮
5hmn 谏
5hlt 翎
5hlr 幌
5hls 虱
5hln 柿
5hct 袜
5hcr 蜗
5hcs 钛
5hcn 诧
5emm 嵩
5eml 榕
5emc 祗
5elm 凋
5ell 茹
5elc 缮
5ecm 焙
5ecl 佯
5ecc 與
5imm 氖
5iml 喙
5imc 玷
5ilm 癜
5ill 痘
5ilc 吠
5icm 漓
5icl 咙
5icc 炙
5omm 悸
5oml 辗
5omc 噩
5olm 砷
5oll 瀚
5olc 橘
5ocm 轶
5ocl 燔
5occ 孚
5amm 逛
5aml 疟
5amc 聆
5alm 蚌
5all 囱
5alc 裳
5acm 璋
5acl 荪
5acc 疽
5hmm 桅
5hml 炯
5hmc 荚
5hlm 疚
5hll 伶
5hlc 诩
5hcm 瘠
5hcl 磐
5hcc 驮
5utt 懿
5utr 蕨
5uts 勺
5utn 雹
5urt 蹦
5urr 唬
5urs 蝮
5urn 涝
5ust 恬
5usr 逍
5uss 烽
5usn 攸
5unt 佼
5unr 疵
5uns 啄
5unn 薇
5ktt 愕
5ktr 跻
5kts 匡
5ktn 呜
5krt 淌
5krr 匾
5krs 鲑
5krn 娲
5kst 槐
5ksr 绮
5kss 琪
5ksn 朕
5knt 酚
5knr 凛
5kns 峨
5knn 戌
5xtt 癖
5xtr 陽
5xts 搓
5xtn 磊
5xrt 椰
5xrr 甄
5xrs 丞
5xrn 楠
5xst 霆
5xsr 鲫
5xss 镭
5xsn 镍
5xnt 螳
5xnr 拭
5xns 奄
5xnn 荀
5utm 視
5utl 敖
5utc 谒
5urm 踝
5url 攘
5urc 苓
5usm 巅
5usl 炖
5usc 镀
5unm 荼
5unl 酰
5unc 溅
5ktm 圃
5ktl 眺
5ktc 侃
5krm 戟
5krl 斡
5krc 俸
5ksm 骏
5ksl 咯
5ksc 酥
5knm 鹊
5knl 饷
5knc 梓
5xtm 卯
5xtl 亘
5xtc 侏
5xrm 眶
5xrl 蓉
5xrc 潇
5xsm 麝
5xsl 娴
5xsc 鞑
5xnm 趴
5xnl 讹
5xnc 鞠
5umt 琏
5umr 憋
5ums 蚜
5umn 剌
5ult 祉
5ulr 祯
5uls 鹉
5uln 懊
5uct 湮
5ucr 罹
5ucs 迸
5ucn 婿
5kmt 谩
5kmr 呻
5kms 嘻
5kmn 娥
5klt 拧
5klr 缎
5kls 疸
5kln 屎
5kct 冢
5kcr 龛
5kcs 嚏
5kcn 蜥
5xmt 臼
5xmr 踞
5xms 弼
5xmn 蝠
5xlt 翟
5xlr 酗
5xls 烬
5xln 衙
5xct 邃
5xcr 喋
5xcs 瀛
5xcn 昊
5umm 羲
5uml 墩
5umc 苷
5ulm 妾
5ull 璧
5ulc 飓
5ucm 熹
5ucl 筷
5ucc 槟
5kmm 铮
5kml 蟋
5kmc 钡
5klm 锄
5kll 汾
5klc 屹
5kcm 锢
5kcl 谆
5kcc 憧
5xmm 秤
5xml 豌
5xmc 馀
5xlm 憬
5xll 蝙
5xlc 猝
5xcm 蟀
5xcl 潼
5xcc 螨
3rd 扒
3rg 阂
3rf 姥
3sd 毓
3sg 弋
3sf 犊
3nd 瘙
3ng 靼
3nf 酉
3rv 瞭
3rb 碉
3rw 黔
3sv 偈
3sb 寐
3sw 祟
3nv 箴
3nb 腎
3nw 秆
3md 膺
3mg 螅
3mf 苞
3ld 涣
3lg 痣
3lf 笙
3cd 淇
3cg 缤
3cf 恙
3mv 荔
3mb 惋
3mw 牒
3lv 摈
3lb 踌
3lw 躇
3cv 娄
3cb 骡
3cw 辕
3dr 丕
3ds 爹
3dn 筏
3gr 赓
3gs 徵
3gn 坷
3fr 芋
3fs 卅
3fn 禺
3dm 郸
3dl 涸
3dc 啃
3gm 腮
3gl 谔
3gc 噢
3fm 遐
3fl 邯
3fc 浚
3dd 诛
3dg 缭
3df 辍
3gd 暧
3gg 傀
3gf 闵
3fd 淖
3fg 蚤
3ff 佚
3dv 漩
3db 酣
3dw 芥
3gv 儡
3gb 赈
3gw 刨
3fv 跤
3fb 馒
3fw 芹
3vr 枸
3vs 胫
3vn 茸
3br 怂
3bs 俟
3bn 芪
3wr 渥
3ws 肽
3wn 恣
3vm 哎
3vl 阑
3vc 荨
3bm 汶
3bl 淞
3bc 辫
3wm 柑
3wl 痿
3wc 鲟
3vd 捅
3vg 蜻
3vf 疙
3bd 碾
3bg 壬
3bf 俑
3wd 骋
3wg 褂
3wf 湍
3vv 笆
3vb 敝
3vw 瘩
3bv 擂
3bb 镰
3bw 彷
3wv 瞰
3wb 鹞
3ww 裨
4td 缄
4tg 檬
4tf 堰
4rd 鲈
4rg 藕
4rf 啬
4sd 奚
4sg 唠
4sf 曜
4nd 簸
4ng 黜
4nf 釜
4tv 蛤
4tb 芍
4tw 蜒
4rv 惚
4rb 搀
4rw 茜
4sv 岔
4sb 岱
4sw 珞
4nv 恚
4nb 硼
4nw 俨
4md 鹃
4mg 嗔
4mf 荃
4ld 箔
4lg 吮
4lf 蘸
4cd 厮
4cg 俺
4cf 刽
4mv 沂
4mb 蚓
4mw 竺
4lv 矾
4lb 倔
4lw 桦
4cv 恫
4cb 谀
4cw 壑
4dt 晏
4dr 蜓
4ds 蔼
4dn 垩
4gt 藓
4gr 啶
4gs 啪
4gn 湃
4ft 橇
4fr 惺
4fs 拽
4fn 艮
4dm 峦
4dl 捻
4dc 撬
4gm 垠
4gl 鳖
4gc 侗
4fm 扪
4fl 榷
4fc 萦
4dd 窠
4dg 搐
4df 恿
4gd 绽
4gg 殡
4gf 纶
4fd 宕
4fg 蛊
4ff 痢
4dv 诙
4db 葆
4dw 昙
4gv 攒
4gb 靳
4gw 吱
4fv 呱
4fb 愣
4fw 榈
4vt 質
4vr 偕
4vs 圩
4vn 诋
4bt 呛
4br 渍
4bs 涓
4bn 媾
4wt 驿
4wr 醛
4ws 翱
4wn 榔
4vm 霹
4vl 涎
4vc 弈
4bm 雯
4bl 劾
4bc 嗯
4wm 蚯
4wl 刁
4wc 沓
4vd 間
4vg 黃
4vf 楞
4bd 幡
4bg 烨
4bf 捎
4wd 虛
4wg 椽
4wf 椿
4vv 秸
4vb 梧
4vw 剽
4bv 臧
4bb 搂
4bw 溥
4wv 寰
4wb 樵
4ww 種
5ted 變
5teg 嫡
5tef 孪
5tid 甬
5tig 鳅
5tif 鼾
5tod 箍
5tog 纫
5tof 掖
5tad 咪
5tag 嗪
5taf 璜
5thd 腌
5thg 钴
5thf 锂
5red 粱
5reg 钨
5ref 娑
5rid 蜊
5rig 氰
5rif 筵
5rod 耨
5rog 柠
5rof 搔
5rad 匕
5rag 胤
5raf 纭
5rhd 晗
5rhg 镖
5rhf 陰
5sed 涧
5seg 驹
5sef 莞
5sid 筝
5sig 長
5sif 岌
5sod 蟑
5sog 掣
5sof 嫂
5sad 扈
5sag 钰
5saf 糠
5shd 晾
5shg 拈
5shf 雳
5ned 嘟
5neg 嗤
5nef 祺
5nid 筐
5nig 稷
5nif 颉
5nod 骰
5nog 吭
5nof 赊
5nad 阉
5nag 寮
5naf 韭
5nhd 炕
5nhg 蔷
5nhf 盂
5tev 砧
5teb 茯
5tew 萼
5tiv 薰
5tib 馅
5tiw 缨
5tov 谄
5tob 補
5tow 結
5tav 飙
5tab 瞠
5taw 痤
5thv 镐
5thb 馏
5thw 眯
5rev 樟
5reb 岖
5rew 裘
5riv 骶
5rib 烃
5riw 菠
5rov 谙
5rob 蒿
5row 鏡
5rav 捶
5rab 癸
5raw 甥
5rhv 诿
5rhb 睑
5rhw 蹋
5sev 說
5seb 忻
5sew 倩
5siv 咧
5sib 涟
5siw 咆
5sov 丫
5sob 岐
5sow 榭
5sav 斛
5sab 锭
5saw 屉
5shv 辎
5shb 斓
5shw 铎
5nev 蛟
5neb 蟠
5new 羹
5niv 潦
